Tema,Título,Tese,Situação,Ramo,Relator,Processo paradigma
1470,Aposentadoria especial de agentes comunitários de saúde e de agentes de combate às endemias após a EC nº 120/2022.,,Ativo · Em análise de RG,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,RE 1605997
1469,Direito à integralidade e à paridade na aposentadoria especial voluntária de agente penitenciário que ingressou no serviço público antes da EC nº 41/2003.,,Ativo · Em análise de RG,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1602968
1468,"Extensão às autarquias federais da regra de competência territorial prevista no art. 109, § 1º, da Constituição Federal para a União e constitucionalidade do art. 97 da Lei nº 12.529/2011, no ponto em que permite ao Conselho Administrativo de Defesa Econômica-CADE, na condição de autor, à sua escolha, ajuizar execução no Distrito Federal ou no foro da sede ou do domicílio do executado.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. NUNES MARQUES,RE 1552749
1467,Reconhecimento da qualidade de segurado do RGPS nas hipóteses de recolhimento de contribuição em valor inferior ao mínimo mensal da categoria após a EC nº 103/2019.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,RE 1544748
1466,"Fornecimento judicial de produtos derivados de Cannabis com registro sanitário, autorização sanitária ou autorização de importação: regime jurídico aplicável e definição dos requisitos de concessão e da competência jurisdicional.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1594313
1465,"Creditamento de ICMS sobre mercadorias intermediárias utilizadas no processo produtivo, condicionado ao seu consumo e à integração física no produto final.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO TRIBUTÁRIO,MIN. NUNES MARQUES,RE 1424015
1464,Justa indenização em desapropriação de imóveis ocupados por famílias de baixa renda.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1594146
1463,"Exasperação da pena na primeira fase da dosimetria, em casos em que se constata a ínfima quantidade de drogas, independentemente de sua natureza.",,Ativo · RG negada - matéria infraconstitucional,DIREITO PROCESSUAL PENAL,MINISTRO PRESIDENTE,RE 1598090
1462,"Aplicação do redutor de 5 anos, previsto no art. 40, § 5º, da Constituição Federal, no cálculo dos proventos de aposentadoria proporcional por invalidez de professor que exerça exclusivamente funções do magistério.",,Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1557194
1461,Condições para promoção de policial militar do Estado do Amazonas.,,Ativo · RG negada - matéria infraconstitucional,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1573267
1460,Incorporação da Gratificação de Estímulo às Atividades de Classe – GEAC – aos proventos de professores do Estado da Bahia que ingressaram no serviço público antes da EC nº 41/2003.,,Ativo · RG negada - matéria infraconstitucional,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1543505
1459,Aplicação do sistema de cotas em processo seletivo interno promovido pela universidade quando os candidatos já se submeteram à ação afirmativa no momento do ingresso inicial na instituição de ensino superior.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1576954
1458,"Critérios de cálculo de benefícios previdenciários concedidos anteriormente à Constituição Federal de 1988, para fins de readequação aos novos tetos previdenciários.",,Ativo · RG negada - matéria infraconstitucional,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,ARE 1566291
1457,Termo inicial da aplicação da taxa SELIC na atualização de débitos judiciais conforme o art. 3° da Emenda Constitucional 113/2021.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1591585
1456,Prazo prescricional para ações indenizatórias contra a União decorrentes da política de isolamento compulsório de pessoas com hanseníase.,"Prescrevem em 5 anos, a contar da publicação da ata de julgamento da ADPF 1.060, as pretensões de indenização propostas contra a União por filhos de pessoas atingidas pela hanseníase cujo fundamento seja o afastamento forçado promovido pelo Estado entre eles e seus pais, sem prejuízo da necessária demonstração, em cada caso, dos pressupostos da responsabilização civil do Estado.",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1587139
1455,"Fixação por lei municipal, posterior à EC nº 29/2000, de alíquotas de IPTU em função da área do imóvel.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO TRIBUTÁRIO,MIN. DIAS TOFFOLI,ARE 1593784
1454,Detração do período em que o apenado se submeteu a recolhimento domiciliar noturno.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PENAL,MIN. CRISTIANO ZANIN,RE 1598180
1453,Índice de atualização monetária aplicável aos valores de depósito judicial criminal oriundos de medida cautelar patrimonial posteriormente revogada a serem restituídos a quem sofreu a constrição.,,Ativo · Em análise de RG,DIREITO PROCESSUAL PENAL,MIN. DIAS TOFFOLI,RE 1553734
1452,"Possibilidade de penhora do único bem residencial da família, alugado a terceiros, ante à alegação de que a renda se destina para subsistência ou moradia.","É infraconstitucional e fática, a ela aplicando-se os efeitos da ausência de repercussão geral, a controvérsia sobre a exigência de prova da destinação da renda oriunda da locação de imóvel para fins de caracterização do bem de família.",Ativo · RG negada - matéria infraconstitucional,DIREITO PROCESSUAL CIVIL E DO TRABALHO,MINISTRO PRESIDENTE,RE 1583707
1451,"Inadmissibilidade, nos termos do artigo 5º, inciso LVI, da Constituição Federal, de provas resultantes de desrespeito comissivo ou omissivo aos direitos fundamentais da vítima, notadamente sua dignidade e honra, pelo magistrado e demais atores processuais durante a realização dos atos instrutórios nos processos por crimes sexuais.",,Ativo · RG reconhecida - mérito julgado · Mérito julgado,DIREITO PROCESSUAL PENAL,MIN. ALEXANDRE DE MORAES,ARE 1541125
1450,"Contagem especial de períodos registrados na prestação de serviços de eletricista, diante do reconhecimento da periculosidade da atividade, para fins de aposentadoria pelo Regime Geral de Previdência Social (RGPS).","É infraconstitucional e fática a controvérsia sobre a admissão, para o cálculo de aposentadoria pelo regime geral de previdência social, de contagem especial de períodos registrados na prestação de serviços de eletricista, diante do reconhecimento da periculosidade da atividade.",Ativo · RG negada - matéria infraconstitucional,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,RE 1587714
1449,"Direito do estudante com deficiência à matrícula em estabelecimento público de ensino em tempo integral situado nas proximidades de sua residência ou do local de trabalho de seus responsáveis ou à disponibilização de vaga em instituição privada custeada pelo Estado, na inexistência de vaga na rede pública apta a atendê-lo.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. FLÁVIO DINO,RE 1589301
1448,Aplicabilidade das alterações promovidas pela Lei nº 13.467/2017 (Reforma Trabalhista) aos contratos de trabalho em curso na data de sua entrada em vigor.,"É infraconstitucional, a ela aplicando-se os efeitos da ausência de repercussão geral, a controvérsia sobre a aplicabilidade das alterações promovidas pela Lei nº 13.467/2017 (Reforma Trabalhista) aos contratos de trabalho em curso quando de sua entrada em vigor.",Ativo · RG negada - matéria infraconstitucional,DIREITO DO TRABALHO,MINISTRO PRESIDENTE,RE 1587446
1447,Direito do segurado contribuinte individual não cooperado à aposentadoria especial e discussão dos meios de prova da especialidade de sua atividade.,"É infraconstitucional, a ela se aplicando os efeitos da ausência de repercussão geral, controvérsia sobre direito do segurado contribuinte individual não cooperado à aposentadoria especial e quanto aos meios de prova da especialidade de sua atividade.",Ativo · RG negada - matéria infraconstitucional,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,RE 1588024
1446,Inclusão do PIS e da COFINS na base de cálculo do ICMS.,"É infraconstitucional, a ela se aplicando os efeitos da ausência de repercussão geral, controvérsia sobre a inclusão do PIS e da COFINS na base de cálculo do ICMS incidente sobre a circulação de mercadorias.",Ativo · RG negada - matéria infraconstitucional,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,ARE 1551512
1445,Incidência de contribuição previdenciária patronal sobre os valores pagos ao empregado a título de décimo terceiro salário proporcional ao aviso prévio indenizado.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO TRIBUTÁRIO,MIN. FLÁVIO DINO,RE 1566336
1444,Índices de correção monetária e de remuneração das contas vinculadas ao Fundo de Garantia por Tempo de Serviço - FGTS.,"É constitucional a fórmula legal de remuneração das contas do FGTS (TR + 3% ao ano + distribuição de lucros), desde que assegurada pelo órgão gestor, no mínimo, correção igual ao índice oficial de inflação; vedada, em qualquer caso, a aplicação retroativa da nova sistemática, observada a modulação de efeitos fixada no julgamento da ADI 5.090.",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1573884
1443,"Competência para processar e julgar crime ambiental que envolva espécie nativa constante na Lista Nacional de Espécies da Flora Brasileira Ameaçadas de Extinção, independentemente da transnacionalidade do delito.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PROCESSUAL PENAL,MIN. CRISTIANO ZANIN,RE 1577260
1442,"Fixação de honorários advocatícios em cumprimento de sentença não embargado promovido contra a Fazenda Pública, quando o crédito se sujeita ao regime das requisições de pequeno valor (RPV).","É infraconstitucional, a ela se aplicando os efeitos da ausência de repercussão geral, controvérsia relativa à fixação de honorários advocatícios em cumprimento de sentença não embargado promovido contra a Fazenda Pública, quando o crédito se sujeita ao regime das requisições de pequeno valor (RPV).",Ativo · RG negada - matéria infraconstitucional,DIREITO PROCESSUAL CIVIL E DO TRABALHO,MINISTRO PRESIDENTE,ARE 1569098
1441,Definir se constitui ofensa ao sigilo profissional do advogado a celebração de acordo de colaboração premiada entre este e os órgãos de persecução penal nas hipóteses nas quais o próprio causídico figura como investigado de integrar organização criminosa.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PROCESSUAL PENAL,MIN. LUIZ FUX,RE 1490568
